cidade,cidade_sem_acento,uf,marca,macro_regional,sigla_regional,regional1,subregional,chave
CARAGUATATUBA,CARAGUATATUBA,SP,GIGA+,Sudeste 1,T4,Litoral SP,T4.4,CARAGUATATUBA-SP-GIGA+
CARIACICA,CARIACICA,ES,SUMICITY,Sudeste 2,T7,ES & Campos,T7.2,CARIACICA-ES-SUMICITY
Carire,CARIRE,CE,MOB,Nordeste,R14,Fortaleza,R14.3 - Sobral,CARIRE-CE-MOB
CARIÚS,CARIUS,CE,MOB,Nordeste,T12,Juazeiro,T12,CARIUS-CE-MOB
CARMO,CARMO,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.2,CARMO-RJ-SUMICITY
CARMO DO RIO CLARO,CARMO DO RIO CLARO,MG,UNIVOX,Sudeste 2,T8,Minas Gerais,T8.1,CARMO DO RIO CLARO-MG-UNIVOX
CARNAÍBA,CARNAIBA,PE,MOB,Nordeste,T10,Pernambuco,T10,CARNAIBA-PE-MOB
CARPINA,CARPINA,PE,MOB,Nordeste,T10,Pernambuco,T10,CARPINA-PE-MOB
CARUARU,CARUARU,PE,MOB,Nordeste,T10,Pernambuco,T10,CARUARU-PE-MOB
CASCAVEL,CASCAVEL,CE,MOB,Nordeste,T14,Fortaleza,T14.1 - Cascavel,CASCAVEL-CE-MOB
CASIMIRO DE ABREU,CASIMIRO DE ABREU,RJ,SUMICITY,Sudeste 2,T5,Lagos RJ,T5.2,CASIMIRO DE ABREU-RJ-SUMICITY
CATAGUASES,CATAGUASES,MG,SUMICITY,Sudeste 2,T7,ES & Campos,T7.1,CATAGUASES-MG-SUMICITY
CATARINA,CATARINA,CE,MOB,Nordeste,T12,Juazeiro,T12,CATARINA-CE-MOB
CAUCAIA,CAUCAIA,CE,MOB,Nordeste,T14,Fortaleza,T14.2 - Fortaleza,CAUCAIA-CE-MOB
CAXIAS,CAXIAS,MA,MOB,Nordeste,T13,Teresina,T13,CAXIAS-MA-MOB
CEDRO,CEDRO,CE,MOB,Nordeste,T12,Juazeiro,T12,CEDRO-CE-MOB
CEDRO DE SÃO JOÃO,CEDRO DE SAO JOAO,SE,MOB,Nordeste,T11,Sergipe,T11,CEDRO DE SAO JOAO-SE-MOB
CIANORTE,CIANORTE,PR,LIGUE,Sudeste 1,T1,Paraná,T1,CIANORTE-PR-LIGUE
COMENDADOR LEVY GASPARIAN,COMENDADOR LEVY GASPARIAN,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.2,COMENDADOR LEVY GASPARIAN-RJ-SUMICITY
CONQUISTA,CONQUISTA,MG,CLICK,Sudeste 2,T8,Minas Gerais,T8.2,CONQUISTA-MG-CLICK
COQUEIRAL,COQUEIRAL,MG,UNIVOX,Sudeste 2,T8,Minas Gerais,T8.1,COQUEIRAL-MG-UNIVOX
CORDEIRO,CORDEIRO,RJ,SUMICITY,Sudeste 2,T7,ES & Campos,T7.1,CORDEIRO-RJ-SUMICITY
COROMANDEL,COROMANDEL,MG,CLICK,Sudeste 2,T8,Minas Gerais,T8.2,COROMANDEL-MG-CLICK
CRATEÚS,CRATEUS,CE,MOB,Nordeste,T12,Juazeiro,T12,CRATEUS-CE-MOB
CRATO,CRATO,CE,MOB,Nordeste,T12,Juazeiro,T12,CRATO-CE-MOB
CRISTAIS,CRISTAIS,MG,UNIVOX,Sudeste 2,T8,Minas Gerais,T8.1,CRISTAIS-MG-UNIVOX
Croatá,CROATA,CE,MOB,Nordeste,R14,Fortaleza,R14.3 - Sobral,CROATA-CE-MOB
CRUZ,CRUZ,CE,MOB,Nordeste,T14,Fortaleza,T14.3 - Sobral,CRUZ-CE-MOB
CUBATÃO,CUBATAO,SP,NIU FIBRA,Sudeste 1,T4,Litoral SP,T4.2,CUBATAO-SP-NIU FIBRA
DELTA,DELTA,MG,CLICK,Sudeste 2,T8,Minas Gerais,T8.2,DELTA-MG-CLICK
